edge_id,highway_type,hour_of_day,day_of_week,is_weekend,is_rush_hour,weather,target_speed_kmh
10091358496_1562810397_0,residential,0,0,0,0,Clear,30.91
1386045449_1386045374_0,residential,0,0,0,0,Clear,26.88
373105238_599226479_0,residential,0,0,0,0,Clear,32.25
11944239447_11944239437_0,residential,0,0,0,0,Clear,32.82
5255625435_599226675_0,residential,0,0,0,0,Clear,24.15
3516525500_3516968836_0,tertiary,0,0,0,0,Clear,26.09
2624372582_7402240161_0,residential,0,0,0,0,Clear,30.38
1533876259_1533876292_0,residential,0,0,0,0,Clear,29.05
11481590502_9806039969_0,residential,0,0,0,0,Clear,29.95
1371947572_1371947807_0,residential,0,0,0,0,Clear,27.44
10731123199_253449681_0,tertiary,0,0,0,0,Clear,32.64
11903564939_6462301370_0,tertiary,0,0,0,0,Clear,32.33
7462251497_7462228275_0,residential,0,0,0,0,Clear,30.2
1188748676_1188748690_0,residential,0,0,0,0,Clear,33.38
7485669243_7239349549_0,residential,0,0,0,0,Clear,31.4
7271139660_7271139662_0,residential,0,0,0,0,Clear,27.42
440673935_7374763363_0,secondary,0,0,0,0,Clear,51.11
421264395_421264394_0,residential,0,0,0,0,Clear,27.12
1338352966_13637055826_0,residential,0,0,0,0,Clear,32.64
2460274442_2460274443_0,residential,0,0,0,0,Clear,29.85
3149560307_3149560301_0,residential,0,0,0,0,Clear,29.45
7414090463_7414090464_0,residential,0,0,0,0,Clear,27.96
9700074501_7452692549_0,residential,0,0,0,0,Clear,33.67
417894263_11140346038_0,residential,0,0,0,0,Clear,29.54
7467028554_6531847396_0,residential,0,0,0,0,Clear,28.72
2230808656_2230808633_0,residential,0,0,0,0,Clear,28.94
11419448879_7452673921_0,residential,0,0,0,0,Clear,31.6
10094873389_10094873388_0,residential,0,0,0,0,Clear,31.1
11395397733_11395397735_0,residential,0,0,0,0,Clear,31.24
7462165789_7462154484_0,residential,0,0,0,0,Clear,31.29
7266079306_13654029920_0,secondary,0,0,0,0,Clear,56.42
2475311098_2475311075_0,residential,0,0,0,0,Clear,28.78
7335062389_7335062362_0,residential,0,0,0,0,Clear,28.46
7485457366_7485457367_0,residential,0,0,0,0,Clear,27.56
5283773702_5283773704_0,residential,0,0,0,0,Clear,31.85
13730579673_7206419688_0,residential,0,0,0,0,Clear,33.39
292566023_13137789988_0,tertiary,0,0,0,0,Clear,29.66
12643236279_12643236258_0,residential,0,0,0,0,Clear,27.48
13673557756_11840492578_0,residential,0,0,0,0,Clear,27.53
1570888197_1570901611_0,residential,0,0,0,0,Clear,31.95
11330988492_11330988491_0,residential,0,0,0,0,Clear,32.23
7271501937_7414267942_0,residential,0,0,0,0,Clear,31.63
6528219616_6528219608_0,residential,0,0,0,0,Clear,28.0
5283773669_7325438247_0,residential,0,0,0,0,Clear,30.7
1570459034_1570459035_0,residential,0,0,0,0,Clear,30.35
2410746124_2410746118_0,residential,0,0,0,0,Clear,30.66
12686525185_12698017370_0,residential,0,0,0,0,Clear,32.61
